entry,top year,ranking,artist,track,release year,genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,popularity
29,2010,30,Travie McCoy,Billionaire (feat. Bruno Mars),2010-03-09,['pop rap'],0.633,0.673,-6.403,0.258,0.297,0,0.206,0.659,86.776,6,0,211160,70.0
30,2010,31,Lady Gaga,Alejandro,2009-11-05,"['art pop', 'dance pop', 'pop']",0.623,0.793,-6.63,0.0462,0.000397,0.0015,0.375,0.36,98.998,11,0,274213,70.0
31,2010,32,Trey Songz,Bottoms Up (feat. Nicki Minaj),2010-09-14,"['dance pop', 'hip pop', 'pop', 'r&b', 'southern hip hop', 'urban contemporary']",0.844,0.601,-5.283,0.157,0.0205,0,0.385,0.331,73.989,1,1,242013,70.0
32,2010,33,Two Door Cinema Club,What You Know,2010-02-17,"['indietronica', 'irish rock', 'modern rock', 'northern irish indie', 'rock']",0.563,0.739,-4.239,0.0416,0.00073,1.45E-05,0.0822,0.775,139.0,6,0,191707,69.0
33,2010,34,Rihanna,Te Amo,2009-11-20,"['barbadian pop', 'pop', 'urban contemporary']",0.567,0.707,-5.455,0.0818,0.541,0.000176,0.1,0.751,171.917,8,0,208427,71.0
34,2010,35,Alicia Keys,Empire State of Mind (Part II) Broken Down,2009-12-15,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",0.484,0.368,-7.784,0.0341,0.74,3.82E-05,0.118,0.142,92.923,6,1,216480,69.0
35,2010,36,Chris Brown,Deuces (feat. Tyga & Kevin McCall),2011-03-22,"['dance pop', 'r&b']",0.692,0.736,-5.109,0.11,0.0324,0,0.0787,0.217,73.987,1,1,276560,69.0
36,2010,37,Young Money,BedRock,2009-01-01,"['dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']",0.733,0.664,-6.163,0.295,0.102,0,0.191,0.557,148.005,8,1,288133,68.0
37,2010,38,Far East Movement,Like A G6,2010-01-01,"['asian american hip hop', 'dance pop', 'edm', 'pop rap']",0.435,0.837,-8.126,0.449,0.00676,0,0.117,0.778,124.913,3,1,216893,68.0
38,2010,39,Neon Trees,Animal,2010-01-01,"['indie poptimism', 'modern alternative rock', 'modern rock', 'pop rock', 'rock']",0.482,0.833,-5.611,0.0449,0.000346,0,0.365,0.74,148.039,5,1,212293,68.0
39,2010,40,Black Eyed Peas,The Time (Dirty Bit),2010-01-01,"['dance pop', 'pop', 'pop rap']",0.816,0.813,-7.798,0.0664,0.0662,2.77E-06,0.602,0.436,127.979,6,0,307640,68.0
40,2010,41,Lil Wayne,Right Above It,2010-01-01,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",0.376,0.841,-4.348,0.356,0.0435,0,0.578,0.463,76.052,3,0,271947,68.0
41,2010,42,Drake,Over,2010-01-01,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",0.35,0.845,-5.614,0.2,0.0107,0,0.123,0.45,99.643,7,1,233560,68.0
42,2010,43,Kesha,Your Love Is My Drug,2010-01-01,"['dance pop', 'pop', 'post-teen pop']",0.826,0.612,-3.891,0.0982,0.00681,0,0.0889,0.756,120.057,1,1,187133,67.0
43,2010,44,Aloe Blacc,I Need A Dollar,2010-09-28,"['neo soul', 'pop soul', 'r&b']",0.84,0.481,-7.123,0.0336,0.199,0,0.0873,0.955,95.497,6,0,243053,67.0
44,2010,45,Shontelle,Impossible,2010-01-01,"['barbadian pop', 'dance pop', 'hip pop', 'post-teen pop', 'urban contemporary']",0.6,0.624,-3.631,0.0334,0.385,0,0.125,0.529,90.036,8,1,226533,67.0
45,2010,46,Timbaland,If We Ever Meet Again (Featuring Katy Perry),2009-01-01,"['dance pop', 'hip hop', 'pop', 'pop rap']",0.652,0.605,-7.371,0.0393,0.00481,0,0.0605,0.394,126.091,8,1,292707,67.0
46,2010,47,Jay Sean,Do You Remember,2009-01-01,"['dance pop', 'pop rap', 'post-teen pop', 'urban contemporary']",0.854,0.674,-4.896,0.0705,0.0204,0,0.101,0.818,125.845,11,1,210800,67.0
47,2010,48,"Edward Maya, Vika Jigulina",Stereo Love - Radio Edit,2010-02-02,"['dance pop', 'romanian house', 'romanian pop']",0.799,0.783,-3.896,0.0322,0.0346,0.0186,0.0757,0.586,127.041,1,0,184573,67.0
48,2010,49,Kesha,Take It Off,2010-01-01,"['dance pop', 'pop', 'post-teen pop']",0.729,0.675,-5.292,0.0286,4.14E-05,0.00126,0.0867,0.74,125.036,5,0,215200,67.0
49,2010,50,Taylor Swift,Back To December,2010-10-25,['pop'],0.529,0.67,-4.663,0.0303,0.117,0,0.334,0.286,141.893,2,1,293027,66.0
50,2010,51,Ludacris,My Chick Bad,2010-01-01,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop']",0.624,0.723,-6.782,0.378,0.172,0,0.483,0.757,84.789,1,1,216933,66.0
51,2010,52,Timbaland,Carry Out (Featuring Justin Timberlake),2009-01-01,"['dance pop', 'hip hop', 'pop', 'pop rap']",0.531,0.574,-6.693,0.113,0.114,0.0308,0.256,0.272,115.68,10,0,232467,67.0
52,2010,53,The Band Perry,If I Die Young,2010-01-01,"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']",0.606,0.497,-6.611,0.0277,0.348,0,0.275,0.362,130.739,4,1,222773,66.0
53,2010,54,Jason Derulo,Whatcha Say,2010-02-24,"['dance pop', 'edm', 'pop', 'pop rap', 'post-teen pop']",0.615,0.711,-5.507,0.0779,0.0444,0,0.145,0.711,144.036,11,1,221253,65.0
54,2010,55,Cali Swag District,Teach Me How to Dougie,2011-07-12,['pop rap'],0.846,0.438,-4.981,0.141,0.2,9.43E-05,0.0939,0.512,85.013,11,1,237480,65.0
55,2010,56,Black Eyed Peas,Imma Be,2009-01-01,"['dance pop', 'pop', 'pop rap']",0.597,0.517,-6.963,0.366,0.179,0,0.307,0.413,92.035,0,1,257560,65.0
56,2010,57,Miley Cyrus,Can't Be Tamed,2010-01-01,['pop'],0.63,0.91,-2.919,0.144,0.0287,0,0.196,0.743,116.98,11,0,168213,65.0
57,2010,58,JAY-Z,Young Forever,2009-09-08,"['east coast hip hop', 'hip hop', 'rap']",0.637,0.69,-3.214,0.0693,0.417,0,0.211,0.103,140.329,9,0,253907,64.0
58,2010,59,Drake,Find Your Love,2010-01-01,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",0.627,0.614,-6.006,0.17,0.0211,0,0.0286,0.758,96.038,6,0,208947,64.0
59,2010,60,Taylor Swift,Mine,2010-10-25,['pop'],0.624,0.757,-2.94,0.0296,0.00265,1.87E-06,0.189,0.658,121.07,7,1,230707,64.0
60,2010,61,John Mayer,Half of My Heart,2009-11-13,"['neo mellow', 'singer-songwriter']",0.681,0.593,-9.327,0.0251,0.435,0.000117,0.106,0.731,115.058,5,1,250373,64.0
61,2010,62,DJ Fresh,Gold Dust - Radio Edit,2010-07-30,"['dancefloor dnb', 'drum and bass', 'house', 'pop dance', 'uk dance']",0.451,0.948,-0.74,0.147,0.255,0,0.392,0.295,176.985,0,1,192447,63.0
62,2010,63,Lady A,Need You Now,2010-01-01,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'neo mellow']",0.581,0.717,-4.433,0.0318,0.0298,0.000186,0.243,0.316,107.884,4,1,236440,63.0
63,2010,64,Sugarland,Stuck Like Glue,2010-01-01,"['contemporary country', 'country', 'country dawn', 'country road']",0.702,0.795,-4.764,0.0568,0.329,0,0.0505,0.836,83.961,1,1,247587,63.0
64,2010,65,B.o.B,Magic (feat. Rivers Cuomo),2010-04-27,"['atl hip hop', 'dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop']",0.549,0.932,-4.11,0.343,0.0127,0,0.347,0.787,82.439,8,0,196133,63.0
65,2010,66,Ellie Goulding,Your Song - Bonus Track,2010-01-01,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']",0.547,0.197,-12.002,0.0303,0.941,0.000756,0.144,0.402,133.85,10,1,191827,63.0
66,2010,67,Sean Kingston,Eenie Meenie,2020-02-28,"['dance pop', 'miami hip hop', 'pop', 'post-teen pop', 'rap', 'urban contemporary']",0.734,0.639,-3.241,0.0316,0.0348,0,0.102,0.836,121.212,1,1,201653,63.0
67,2010,68,Jason Derulo,Ridin' Solo,2010-02-24,"['dance pop', 'edm', 'pop', 'pop rap', 'post-teen pop']",0.442,0.83,-4.02,0.146,0.128,0,0.129,0.578,89.338,9,1,215747,63.0
68,2010,69,CeeLo Green,Forget You,2010-11-09,['atl hip hop'],0.696,0.875,-3.682,0.0649,0.134,0,0.159,0.772,127.39,0,1,222733,63.0
69,2010,70,"Yolanda Be Cool, DCup, Chemical Surf",We No Speak Americano (Edit),2020-12-04,"['australian dance', 'australian house', 'bass house']",0.902,0.805,-5.003,0.0468,0.0748,0.0823,0.0914,0.745,124.985,6,1,157438,63.0
70,2010,71,John Mayer,Heartbreak Warfare,2009-11-13,"['neo mellow', 'singer-songwriter']",0.624,0.554,-8.113,0.0225,0.191,0.00131,0.299,0.311,97.031,2,1,269720,64.0
71,2010,72,Rihanna,Man Down,2010-11-16,"['barbadian pop', 'pop', 'urban contemporary']",0.479,0.906,-4.03,0.188,0.0406,0,0.051,0.536,155.887,0,0,266987,62.0
72,2010,73,3OH!3,STARSTRUKK (feat. Katy Perry),2009-01-16,"['dance pop', 'electropowerpop', 'modern rock', 'pop', 'pop punk', 'pop rap', 'post-teen pop']",0.607,0.805,-5.579,0.0608,0.00175,0,0.231,0.232,139.894,11,0,202667,62.0
73,2010,74,Enrique Iglesias,I Like It,2010,"['latin pop', 'mexican pop']",0.648,0.942,-2.881,0.0878,0.021,0,0.0594,0.73,129.007,10,0,231373,62.0
74,2010,75,Ludacris,How Low,2010-01-01,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop']",0.785,0.498,-6.977,0.0533,0.00248,1.23E-06,0.224,0.418,143.96,1,1,201587,62.0
75,2010,76,Maroon 5,Misery,2010,['pop'],0.704,0.81,-4.874,0.0425,0.000315,0,0.216,0.726,102.98,4,0,216200,62.0
76,2010,77,Example,Kickstarts,2010-06-20,"['dance pop', 'hip house', 'house', 'pop dance', 'tropical house', 'uk dance']",0.61,0.836,-4.455,0.0573,0.00374,0,0.358,0.657,126.056,5,1,181827,61.0
77,2010,78,Jason Derulo,In My Head,2010-02-24,"['dance pop', 'edm', 'pop', 'pop rap', 'post-teen pop']",0.762,0.748,-4.15,0.033,0.0266,0,0.348,0.851,110.009,0,0,199027,61.0
78,2010,79,Adam Lambert,Whataya Want from Me,2009-11-23,"['dance pop', 'idol', 'pop', 'post-teen pop']",0.44,0.683,-4.732,0.0489,0.00706,0,0.0593,0.445,185.948,11,0,227320,61.0
79,2010,80,Trey Songz,Say Aah (feat. Fabolous),2009-08-31,"['dance pop', 'hip pop', 'pop', 'r&b', 'southern hip hop', 'urban contemporary']",0.724,0.87,-3.614,0.113,0.00453,0,0.833,0.81,93.01,1,0,207547,61.0
80,2010,81,The Script,For the First Time,2011-01-18,"['celtic rock', 'dance pop', 'neo mellow', 'pop', 'pop rock']",0.396,0.629,-4.78,0.0287,0.0328,0,0.183,0.358,173.794,9,1,252853,60.0
81,2010,82,Usher,Hey Daddy (Daddy's Home),2010-03-30,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']",0.59,0.698,-4.262,0.0286,0.000176,0,0.107,0.352,95.975,11,1,224093,60.0
82,2010,83,3OH!3,My First Kiss (feat. Ke$ha),2010-06-25,"['dance pop', 'electropowerpop', 'modern rock', 'pop', 'pop punk', 'pop rap', 'post-teen pop']",0.682,0.889,-4.166,0.0804,0.00564,0,0.36,0.827,138.021,0,1,192440,60.0
83,2010,84,K'NAAN,Wavin' Flag,2009,['reggae fusion'],0.625,0.699,-6.416,0.0729,0.13,0,0.238,0.717,75.974,0,1,220520,59.0
84,2010,85,Sara Bareilles,King of Anything,2010-09-07,"['acoustic pop', 'hollywood', 'lilith', 'neo mellow', 'pop', 'pop rock']",0.676,0.762,-4.172,0.0351,0.461,0,0.0574,0.81,119.003,1,1,207493,59.0
85,2010,86,Robyn,Dancing On My Own - Radio Edit,2010-01-01,"['art pop', 'dance pop', 'electropop', 'europop', 'pop', 'scandipop', 'swedish electropop', 'swedish pop']",0.573,0.926,-6.045,0.0342,0.00202,0.0117,0.127,0.219,117.047,6,1,278080,59.0
86,2010,87,Kesha,Blah Blah Blah (feat. 3OH!3),2010-01-01,"['dance pop', 'pop', 'post-teen pop']",0.752,0.836,-3.173,0.115,0.0843,0.000425,0.424,0.519,120.003,10,1,172053,59.0
87,2010,88,Alicia Keys,Try Sleeping with a Broken Heart,2009-12-15,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",0.496,0.821,-5.155,0.112,0.158,0.246,0.13,0.549,110.977,5,1,249013,58.0
88,2010,89,Swedish House Mafia,One - Radio Edit,2010-07-23,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'progressive electro house']",0.802,0.781,-6.564,0.0368,0.0075,0.825,0.147,0.622,125.026,0,1,169920,57.0
89,2010,90,Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale),2010-09-06,"['atl hip hop', 'dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.76,0.595,-6.366,0.0391,0.00544,0,0.241,0.361,131.497,1,1,263773,57.0
90,2010,91,Ne-Yo,Beautiful Monster,2010-01-01,"['dance pop', 'pop', 'r&b', 'urban contemporary']",0.708,0.771,-6.99,0.131,0.209,5.32E-06,0.277,0.494,128.013,5,0,251573,57.0
91,2010,92,Take That,The Flood,2010-01-01,"['boy band', 'dance pop', 'europop']",0.514,0.83,-6.077,0.044,0.0378,1.43E-06,0.122,0.138,100.631,11,0,289360,56.0
92,2010,93,Duck Sauce,Barbra Streisand (Radio Edit),2010-10-15,"['disco house', 'electro house', 'filter house', 'vocal house']",0.763,0.925,-1.997,0.0969,0.000737,0.136,0.218,0.455,127.95,1,1,194531,56.0
93,2010,94,Glee Cast,Don't Stop Believin' (Glee Cast Version) - Cover of Journey,2009-11-02,"['glee club', 'hollywood', 'post-teen pop']",0.473,0.604,-4.034,0.0337,0.0376,0,0.103,0.271,123.848,7,1,232000,56.0
94,2010,95,The Wanted,All Time Low,2010-01-01,"['boy band', 'dance pop', 'edm', 'pop', 'pop rock', 'post-teen pop']",0.69,0.617,-5.022,0.052,0.35,0,0.0789,0.787,134.023,8,0,205200,55.0
95,2010,96,The Saturdays,Higher,2010-01-01,"['dance pop', 'electropop', 'europop', 'girl group', 'pop', 'post-teen pop', 'tropical house', 'uk pop']",0.639,0.862,-3.292,0.0341,0.049,6.81E-06,0.264,0.596,117.011,10,1,207613,54.0
96,2010,97,Ellie Goulding,Starry Eyed,2010-01-01,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']",0.504,0.814,-5.346,0.0389,0.135,1.42E-05,0.324,0.596,149.967,5,0,176613,54.0
97,2010,98,DJ Khaled,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",2010-02-09,"['hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.544,0.781,-3.616,0.189,0.014,0,0.161,0.277,150.1,10,1,232507,51.0
98,2010,99,Tim Berg,Bromance - Avicii's Radio Edit,2010-08-04,"['edm', 'electro house', 'pop dance', 'progressive electro house']",0.681,0.804,-8.901,0.041,0.199,0.899,0.149,0.0377,126.016,1,0,218616,51.0
99,2010,100,Kris Allen,Live Like We're Dying,2009-11-16,"['acoustic pop', 'idol', 'neo mellow', 'post-teen pop']",0.589,0.893,-2.948,0.0397,0.0273,0,0.343,0.94,92.011,0,1,212507,51.0
100,2011,1,Adele,Rolling in the Deep,2011-01-24,"['british soul', 'pop', 'pop soul', 'uk pop']",0.73,0.769,-5.114,0.0298,0.138,0,0.0473,0.507,104.948,8,1,228093,78.0
101,2011,2,Maroon 5,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",2010,['pop'],0.722,0.758,-4.477,0.0471,0.0111,0,0.308,0.62,128.047,11,0,201160,70.0
102,2011,3,LMFAO,Party Rock Anthem,2011-01-01,"['dance pop', 'pop', 'pop rap']",0.75,0.727,-4.21,0.142,0.0189,0,0.266,0.359,129.993,5,0,262173,67.0
103,2011,4,Katy Perry,Firework,2010-01-01,"['dance pop', 'pop']",0.638,0.832,-5.039,0.049,0.141,0,0.113,0.648,124.071,8,1,227893,69.0
104,2011,5,Bruno Mars,Grenade,2010-10-05,"['dance pop', 'pop']",0.704,0.558,-7.273,0.0542,0.148,0,0.107,0.245,110.444,2,0,222091,76.0
105,2011,6,Miguel,Sure Thing,2010-11-26,"['dance pop', 'pop', 'r&b']",0.684,0.607,-8.127,0.1,0.0267,0.000307,0.191,0.498,81.001,11,0,195373,91.0
106,2011,7,Coldplay,Paradise,2011-10-24,"['permanent wave', 'pop']",0.449,0.585,-6.761,0.0268,0.0509,8.75E-05,0.0833,0.212,139.631,5,1,278719,82.0
107,2011,8,Foster The People,Pumped Up Kicks,2011-05-23,"['indietronica', 'modern rock', 'rock']",0.733,0.71,-5.849,0.0292,0.145,0.115,0.0956,0.965,127.975,5,0,239600,81.0
108,2011,9,Pitbull,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",2011-06-17,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",0.671,0.939,-3.206,0.161,0.191,0,0.298,0.53,129.024,8,1,252307,80.0
109,2011,10,Selena Gomez & The Scene,Love You Like A Love Song,2011-01-01,"['dance pop', 'pop', 'post-teen pop']",0.858,0.678,-3.87,0.0469,0.0761,0,0.0741,0.922,117.009,1,0,188453,80.0
110,2011,11,Rihanna,S&M,2010-01-01,"['barbadian pop', 'pop', 'urban contemporary']",0.769,0.684,-5.019,0.0411,0.0105,0.000125,0.0887,0.835,127.972,1,1,243600,80.0
111,2011,12,Gym Class Heroes,Stereo Hearts (feat. Adam Levine),2011-11-11,"['dance pop', 'pop rap']",0.646,0.795,-3.293,0.0976,0.0319,0,0.267,0.796,89.99,9,1,210960,80.0
112,2011,13,Adele,Set Fire to the Rain,2011-01-24,"['british soul', 'pop', 'pop soul', 'uk pop']",0.603,0.67,-3.882,0.0249,0.00408,1.68E-06,0.112,0.446,107.993,2,0,242974,79.0
113,2011,14,Christina Perri,A Thousand Years,2011-10-18,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']",0.421,0.407,-7.445,0.0267,0.309,0.000961,0.11,0.161,139.028,10,1,285120,78.0
114,2011,15,Kanye West,All Of The Lights,2010-11-22,"['chicago rap', 'rap']",0.531,0.803,-3.284,0.0717,0.0796,1.71E-05,0.176,0.221,142.113,1,1,299613,77.0
115,2011,16,Jennifer Lopez,On The Floor,2011-01-01,"['dance pop', 'pop', 'pop rap', 'urban contemporary']",0.73,0.777,-5.194,0.0496,0.105,0.000478,0.0691,0.575,130.0,3,0,284867,77.0
116,2011,17,Rihanna,We Found Love,2011-11-19,"['barbadian pop', 'pop', 'urban contemporary']",0.735,0.766,-4.485,0.0383,0.025,0.00138,0.108,0.6,127.985,1,1,215227,79.0
117,2011,18,Nicki Minaj,Super Bass,2010-11-22,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']",0.723,0.86,-4.357,0.203,0.271,4.56E-06,0.598,0.667,126.979,11,1,200013,77.0
118,2011,19,GROUPLOVE,Tongue Tied,2011-09-02,"['indie pop', 'indie poptimism', 'indie rock', 'indietronica', 'la indie', 'modern alternative rock', 'modern rock', 'rock', 'stomp and holler']",0.56,0.936,-5.835,0.0439,0.00847,0,0.161,0.371,112.96,3,1,218013,76.0
119,2011,20,P!nk,Raise Your Glass,2010-10-05,"['dance pop', 'pop']",0.7,0.709,-5.006,0.0838,0.0048,0,0.029,0.624,122.019,7,1,202960,76.0
120,2011,21,Adele,Someone Like You,2011-01-24,"['british soul', 'pop', 'pop soul', 'uk pop']",0.556,0.319,-8.251,0.0281,0.893,0,0.0996,0.294,135.187,9,1,285240,78.0
121,2011,22,The Wanted,Glad You Came,2011-01-01,"['boy band', 'dance pop', 'edm', 'pop', 'pop rock', 'post-teen pop']",0.722,0.851,-3.873,0.0639,0.0319,0,0.108,0.452,126.885,7,0,197936,76.0
122,2011,23,Selena Gomez & The Scene,Who Says,2011-01-01,"['dance pop', 'pop', 'post-teen pop']",0.682,0.927,-2.915,0.0479,0.0843,0,0.149,0.744,101.019,4,1,195613,75.0
123,2011,24,Drake,Headlines,2011-11-15,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",0.636,0.566,-7.16,0.106,0.365,0.000353,0.0917,0.425,151.894,6,0,235987,75.0
124,2011,25,Black Eyed Peas,Just Can’t Get Enough,2010-01-01,"['dance pop', 'pop', 'pop rap']",0.659,0.628,-8.685,0.179,0.186,0,0.105,0.262,94.05,0,0,219427,75.0
125,2011,26,Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale),2010-10-01,"['atl hip hop', 'dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.76,0.595,-6.366,0.0391,0.00544,0,0.241,0.361,131.497,1,1,263773,74.0
